Bottom Range Low,Bottom Range High,Top Range Low,Top Range High,Tokens
6.9e-9,2.445e-8,2.445e-8,4.2e-8,20000000
6.9e-9,1.5675e-8,1.5675e-8,2.445e-8,20000000
6.9e-9,1.12875e-8,1.12875e-8,1.5675e-8,20000000
6.9e-9,9.09375e-9,9.09375e-9,1.12875e-8,20000000
6.9e-9,7.996875e-9,7.996875e-9,9.09375e-9,20000000
6.9e-9,7.4484375000000004e-9,7.4484375000000004e-9,7.996875e-9,20000000
6.9e-9,7.17421875e-9,7.17421875e-9,7.4484375000000004e-9,20000000
6.9e-9,7.037109375e-9,7.037109375e-9,7.17421875e-9,20000000
6.9e-9,6.9685546875e-9,6.9685546875e-9,7.037109375e-9,20000000
6.9e-9,6.93427734375e-9,6.93427734375e-9,6.9685546875e-9,20000000
6.9e-9,6.917138671875e-9,6.917138671875e-9,6.93427734375e-9,20000000
6.9e-9,6.9085693359374995e-9,6.9085693359374995e-9,6.917138671875e-9,20000000
6.9e-9,6.904284667968749e-9,6.904284667968749e-9,6.9085693359374995e-9,20000000
6.9e-9,6.902142333984375e-9,6.902142333984375e-9,6.904284667968749e-9,20000000
6.9e-9,6.901071166992188e-9,6.901071166992188e-9,6.902142333984375e-9,20000000
6.9e-9,6.900535583496093e-9,6.900535583496093e-9,6.901071166992188e-9,20000000
6.9e-9,6.900267791748046e-9,6.900267791748046e-9,6.900535583496093e-9,20000000
6.9e-9,6.900133895874023e-9,6.900133895874023e-9,6.900267791748046e-9,20000000
6.9e-9,6.900066947937011e-9,6.900066947937011e-9,6.900133895874023e-9,20000000
6.9e-9,6.900033473968505e-9,6.900033473968505e-9,6.900066947937011e-9,20000000
6.9e-9,6.900016736984252e-9,6.900016736984252e-9,6.900033473968505e-9,20000000
6.9e-9,6.900008368492126e-9,6.900008368492126e-9,6.900016736984252e-9,20000000
6.9e-9,6.900004184246063e-9,6.900004184246063e-9,6.900008368492126e-9,20000000
6.9e-9,6.9000020921230316e-9,6.9000020921230316e-9,6.900004184246063e-9,20000000
6.9e-9,6.900001046061515e-9,6.900001046061515e-9,6.9000020921230316e-9,20000000
6.9e-9,6.900000523030757e-9,6.900000523030757e-9,6.900001046061515e-9,20000000
6.9e-9,6.900000261515378e-9,6.900000261515378e-9,6.900000523030757e-9,20000000
6.9e-9,6.900000130757689e-9,6.900000130757689e-9,6.900000261515378e-9,20000000
6.900000261515378e-9,6.9000003922730675e-9,6.9000003922730675e-9,6.900000523030757e-9,20000000
6.900000523030757e-9,6.900000784546136e-9,6.900000784546136e-9,6.900001046061515e-9,20000000
6.900000523030757e-9,6.900000653788447e-9,6.900000653788447e-9,6.900000784546136e-9,20000000
6.900000784546136e-9,6.900000915303826e-9,6.900000915303826e-9,6.900001046061515e-9,20000000
6.900001046061515e-9,6.9000015690922734e-9,6.9000015690922734e-9,6.9000020921230316e-9,20000000
6.900001046061515e-9,6.900001307576894e-9,6.900001307576894e-9,6.9000015690922734e-9,20000000
6.900001046061515e-9,6.900001176819205e-9,6.900001176819205e-9,6.900001307576894e-9,20000000
6.900001307576894e-9,6.900001438334584e-9,6.900001438334584e-9,6.9000015690922734e-9,20000000
6.9000015690922734e-9,6.9000018306076525e-9,6.9000018306076525e-9,6.9000020921230316e-9,20000000
6.9000015690922734e-9,6.900001699849963e-9,6.900001699849963e-9,6.9000018306076525e-9,20000000
6.9000018306076525e-9,6.900001961365342e-9,6.900001961365342e-9,6.9000020921230316e-9,20000000
6.9000020921230316e-9,6.900003138184547e-9,6.900003138184547e-9,6.900004184246063e-9,20000000
6.9000020921230316e-9,6.90000261515379e-9,6.90000261515379e-9,6.900003138184547e-9,20000000
6.9000020921230316e-9,6.900002353638411e-9,6.900002353638411e-9,6.90000261515379e-9,20000000
6.9000020921230316e-9,6.900002222880721e-9,6.900002222880721e-9,6.900002353638411e-9,20000000
6.900002353638411e-9,6.9000024843961e-9,6.9000024843961e-9,6.90000261515379e-9,20000000
6.90000261515379e-9,6.900002876669169e-9,6.900002876669169e-9,6.900003138184547e-9,20000000
6.90000261515379e-9,6.900002745911479e-9,6.900002745911479e-9,6.900002876669169e-9,20000000
6.900002876669169e-9,6.9000030074268575e-9,6.9000030074268575e-9,6.900003138184547e-9,20000000
6.900003138184547e-9,6.9000036612153044e-9,6.9000036612153044e-9,6.900004184246063e-9,20000000
6.900003138184547e-9,6.900003399699925e-9,6.900003399699925e-9,6.9000036612153044e-9,20000000
6.900003138184547e-9,6.900003268942237e-9,6.900003268942237e-9,6.900003399699925e-9,20000000
