Bottom Range Low,Bottom Range High,Top Range Low,Top Range High,Tokens
0.0000000042,0.0000000366,0.0000000366,0.0000000690,40000000
0.0000000042,0.0000000204,0.0000000204,0.0000000366,40000000
0.0000000042,0.0000000123,0.0000000123,0.0000000204,40000000
0.0000000042,0.0000000082,0.0000000082,0.0000000123,40000000
0.0000000042,0.0000000062,0.0000000062,0.0000000082,40000000
0.0000000042,0.0000000052,0.0000000052,0.0000000062,40000000
0.0000000042,0.0000000047,0.0000000047,0.0000000052,40000000
0.0000000042,0.0000000045,0.0000000045,0.0000000047,40000000
0.0000000042,0.0000000043,0.0000000043,0.0000000045,40000000
0.0000000042,0.0000000043,0.0000000043,0.0000000043,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000043,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
0.0000000042,0.0000000042,0.0000000042,0.0000000042,40000000
